
Host: m6.lobos.nih.gov

Timers On : Sat Sep  1 17:14:22 2018
Timers Off: Sat Sep  1 17:14:23 2018

Wall Time:        0.68 seconds


-----------------------------------------------------------

***********************************************************

Host: m6.lobos.nih.gov

Timers On : Sat Sep  1 17:14:32 2018
Timers Off: Sat Sep  1 17:14:33 2018

Wall Time:        0.50 seconds


-----------------------------------------------------------

***********************************************************

Host: m6.lobos.nih.gov

Timers On : Sat Sep  1 17:14:46 2018
Timers Off: Sat Sep  1 17:14:47 2018

Wall Time:        0.68 seconds


-----------------------------------------------------------

***********************************************************

Host: m6.lobos.nih.gov

Timers On : Sat Sep  1 17:15:27 2018
Timers Off: Sat Sep  1 17:15:28 2018

Wall Time:        0.90 seconds


-----------------------------------------------------------

***********************************************************

Host: m6.lobos.nih.gov

Timers On : Sat Sep  1 17:15:49 2018
Timers Off: Sat Sep  1 17:15:50 2018

Wall Time:        1.19 seconds

HF: DIIS                    :      0.017u      0.000s      0.013w     56 calls
DIISManager::add_entry      :      0.000u      0.000s      0.008w     50 calls
DIISManager::extrapolate    :      0.017u      0.000s      0.004w     44 calls
bMatrix setup               :      0.017u      0.000s      0.001w     44 calls
bMatrix pseudoinverse       :      0.000u      0.000s      0.001w     44 calls
New vector                  :      0.000u      0.000s      0.001w     44 calls
HF: Form C                  :      0.000u      0.000s      0.005w     56 calls
HF: Form D                  :      0.000u      0.000s      0.000w     56 calls
Grad: V T Perturb           :      0.083u      0.067s      0.102w      5 calls
Grad: S                     :      0.000u      0.000s      0.001w      5 calls
Grad: JK                    :      1.067u      0.017s      0.847w      5 calls
JKGrad: Amn                 :      0.183u      0.000s      0.110w      5 calls
JKGrad: Awmn                :      0.000u      0.000s      0.000w      5 calls
JKGrad: AB                  :      0.167u      0.000s      0.105w      5 calls
JKGrad: UV                  :      0.000u      0.000s      0.001w      5 calls
JKGrad: ABx                 :      0.167u      0.017s      0.268w      5 calls
JKGrad: Amnx                :      0.367u      0.000s      0.230w      5 calls
Grad: XC                    :      0.000u      0.000s      0.000w      5 calls

-----------------------------------------------------------
DFH: initialize()           :      0.717u      0.000s      0.433w      6 calls
| DFH: sparsity prep        :      0.217u      0.000s      0.139w      6 calls
| DFH: AO Construction      :      0.067u      0.000s      0.028w      6 calls
| DFH: AO-Met. Contraction  :      0.000u      0.000s      0.003w      6 calls
HF: Form H                  :      0.017u      0.017s      0.031w      6 calls
HF: Form S/X                :      0.000u      0.000s      0.001w      6 calls
HF: Guess                   :      0.383u      0.000s      0.227w      6 calls
| SAD Guess                 :      0.367u      0.000s      0.222w      2 calls
HF: Form G                  :      0.000u      0.017s      0.012w     56 calls
| JK: D                     :      0.000u      0.000s      0.000w     56 calls
| JK: USO2AO                :      0.000u      0.000s      0.000w     56 calls
| JK: JK                    :      0.000u      0.017s      0.010w     56 calls
| | DFH: compute_JK()       :      0.000u      0.017s      0.010w     56 calls
| | | DFH: Grabbing AOs     :      0.000u      0.000s      0.000w     56 calls
| | | DFH: compute_J        :      0.000u      0.000s      0.003w     56 calls
| | | DFH: compute_K        :      0.000u      0.017s      0.006w     56 calls
| JK: AO2USO                :      0.000u      0.000s      0.000w     56 calls
HF: Form F                  :      0.000u      0.000s      0.000w     56 calls
HF: DIIS                    :      0.017u      0.000s      0.013w     56 calls
| DIISManager::add_entry    :      0.000u      0.000s      0.008w     50 calls
| DIISManager::extrapolate  :      0.017u      0.000s      0.004w     44 calls
| | bMatrix setup           :      0.017u      0.000s      0.001w     44 calls
| | bMatrix pseudoinverse   :      0.000u      0.000s      0.001w     44 calls
| | New vector              :      0.000u      0.000s      0.001w     44 calls
HF: Form C                  :      0.000u      0.000s      0.005w     56 calls
HF: Form D                  :      0.000u      0.000s      0.000w     56 calls
Grad: V T Perturb           :      0.083u      0.067s      0.102w      5 calls
Grad: S                     :      0.000u      0.000s      0.001w      5 calls
Grad: JK                    :      1.067u      0.017s      0.847w      5 calls
| JKGrad: Amn               :      0.183u      0.000s      0.110w      5 calls
| JKGrad: Awmn              :      0.000u      0.000s      0.000w      5 calls
| JKGrad: AB                :      0.167u      0.000s      0.105w      5 calls
| JKGrad: UV                :      0.000u      0.000s      0.001w      5 calls
| JKGrad: ABx               :      0.167u      0.017s      0.268w      5 calls
| JKGrad: Amnx              :      0.367u      0.000s      0.230w      5 calls
Grad: XC                    :      0.000u      0.000s      0.000w      5 calls

***********************************************************

Host: m6.lobos.nih.gov

Timers On : Sat Sep  1 17:35:05 2018
Timers Off: Sat Sep  1 17:35:09 2018

Wall Time:        3.93 seconds

DFH: initialize()           :      0.700u      0.000s      0.415w      6 calls
DFH: sparsity prep          :      0.200u      0.000s      0.132w      6 calls
DFH: AO Construction        :      0.050u      0.000s      0.028w      6 calls
DFH: AO-Met. Contraction    :      0.033u      0.000s      0.003w      6 calls
HF: Form H                  :      0.000u      0.017s      0.031w      6 calls
HF: Form S/X                :      0.000u      0.000s      0.001w      6 calls
HF: Guess                   :      0.367u      0.000s      0.227w      6 calls
SAD Guess                   :      0.367u      0.000s      0.222w      2 calls
HF: Form G                  :      0.017u      0.000s      0.012w     56 calls
JK: D                       :      0.000u      0.000s      0.000w     56 calls
JK: USO2AO                  :      0.000u      0.000s      0.000w     56 calls
JK: JK                      :      0.017u      0.000s      0.010w     56 calls
DFH: compute_JK()           :      0.017u      0.000s      0.010w     56 calls
DFH: Grabbing AOs           :      0.000u      0.000s      0.000w     56 calls
DFH: compute_J              :      0.000u      0.000s      0.003w     56 calls
DFH: compute_K              :      0.017u      0.000s      0.006w     56 calls
JK: AO2USO                  :      0.000u      0.000s      0.000w     56 calls
HF: Form F                  :      0.000u      0.000s      0.000w     56 calls
HF: DIIS                    :      0.033u      0.000s      0.013w     56 calls
DIISManager::add_entry      :      0.000u      0.000s      0.007w     50 calls
DIISManager::extrapolate    :      0.017u      0.000s      0.004w     44 calls
bMatrix setup               :      0.000u      0.000s      0.001w     44 calls
bMatrix pseudoinverse       :      0.017u      0.000s      0.001w     44 calls
New vector                  :      0.000u      0.000s      0.001w     44 calls
HF: Form C                  :      0.000u      0.000s      0.006w     56 calls
HF: Form D                  :      0.000u      0.000s      0.000w     56 calls
Grad: V T Perturb           :      0.117u      0.083s      0.102w      5 calls
Grad: S                     :      0.000u      0.000s      0.001w      5 calls
Grad: JK                    :      1.000u      0.000s      0.648w      5 calls
JKGrad: Amn                 :      0.183u      0.000s      0.110w      5 calls
JKGrad: Awmn                :      0.000u      0.000s      0.000w      5 calls
JKGrad: AB                  :      0.167u      0.000s      0.105w      5 calls
JKGrad: UV                  :      0.000u      0.000s      0.001w      5 calls
JKGrad: ABx                 :      0.167u      0.000s      0.098w      5 calls
JKGrad: Amnx                :      0.333u      0.000s      0.200w      5 calls
Grad: XC                    :      0.000u      0.000s      0.000w      5 calls

-----------------------------------------------------------
DFH: initialize()           :      0.700u      0.000s      0.415w      6 calls
| DFH: sparsity prep        :      0.200u      0.000s      0.132w      6 calls
| DFH: AO Construction      :      0.050u      0.000s      0.028w      6 calls
| DFH: AO-Met. Contraction  :      0.033u      0.000s      0.003w      6 calls
HF: Form H                  :      0.000u      0.017s      0.031w      6 calls
HF: Form S/X                :      0.000u      0.000s      0.001w      6 calls
HF: Guess                   :      0.367u      0.000s      0.227w      6 calls
| SAD Guess                 :      0.367u      0.000s      0.222w      2 calls
HF: Form G                  :      0.017u      0.000s      0.012w     56 calls
| JK: D                     :      0.000u      0.000s      0.000w     56 calls
| JK: USO2AO                :      0.000u      0.000s      0.000w     56 calls
| JK: JK                    :      0.017u      0.000s      0.010w     56 calls
| | DFH: compute_JK()       :      0.017u      0.000s      0.010w     56 calls
| | | DFH: Grabbing AOs     :      0.000u      0.000s      0.000w     56 calls
| | | DFH: compute_J        :      0.000u      0.000s      0.003w     56 calls
| | | DFH: compute_K        :      0.017u      0.000s      0.006w     56 calls
| JK: AO2USO                :      0.000u      0.000s      0.000w     56 calls
HF: Form F                  :      0.000u      0.000s      0.000w     56 calls
HF: DIIS                    :      0.033u      0.000s      0.013w     56 calls
| DIISManager::add_entry    :      0.000u      0.000s      0.007w     50 calls
| DIISManager::extrapolate  :      0.017u      0.000s      0.004w     44 calls
| | bMatrix setup           :      0.000u      0.000s      0.001w     44 calls
| | bMatrix pseudoinverse   :      0.017u      0.000s      0.001w     44 calls
| | New vector              :      0.000u      0.000s      0.001w     44 calls
HF: Form C                  :      0.000u      0.000s      0.006w     56 calls
HF: Form D                  :      0.000u      0.000s      0.000w     56 calls
Grad: V T Perturb           :      0.117u      0.083s      0.102w      5 calls
Grad: S                     :      0.000u      0.000s      0.001w      5 calls
Grad: JK                    :      1.000u      0.000s      0.648w      5 calls
| JKGrad: Amn               :      0.183u      0.000s      0.110w      5 calls
| JKGrad: Awmn              :      0.000u      0.000s      0.000w      5 calls
| JKGrad: AB                :      0.167u      0.000s      0.105w      5 calls
| JKGrad: UV                :      0.000u      0.000s      0.001w      5 calls
| JKGrad: ABx               :      0.167u      0.000s      0.098w      5 calls
| JKGrad: Amnx              :      0.333u      0.000s      0.200w      5 calls
Grad: XC                    :      0.000u      0.000s      0.000w      5 calls

***********************************************************

Host: m6.lobos.nih.gov

Timers On : Sat Sep  1 17:35:52 2018
Timers Off: Sat Sep  1 17:36:00 2018

Wall Time:        8.40 seconds

DFH: initialize()           :      1.417u      0.000s      0.872w     14 calls
DFH: sparsity prep          :      0.433u      0.000s      0.273w     14 calls
DFH: AO Construction        :      0.067u      0.000s      0.061w     14 calls
DFH: AO-Met. Contraction    :      0.000u      0.000s      0.007w     14 calls
HF: Form H                  :      0.000u      0.000s      0.072w     14 calls
HF: Form S/X                :      0.000u      0.000s      0.002w     14 calls
HF: Guess                   :      1.583u      0.033s      0.965w     14 calls
SAD Guess                   :      1.517u      0.033s      0.941w     10 calls
HF: Form G                  :      0.083u      0.017s      0.029w    145 calls
JK: D                       :      0.000u      0.000s      0.001w    145 calls
JK: USO2AO                  :      0.000u      0.000s      0.000w    145 calls
JK: JK                      :      0.083u      0.017s      0.025w    145 calls
DFH: compute_JK()           :      0.083u      0.017s      0.024w    145 calls
DFH: Grabbing AOs           :      0.000u      0.000s      0.000w    145 calls
DFH: compute_J              :      0.017u      0.000s      0.007w    145 calls
DFH: compute_K              :      0.050u      0.017s      0.015w    145 calls
JK: AO2USO                  :      0.000u      0.000s      0.000w    145 calls
HF: Form F                  :      0.000u      0.000s      0.000w    145 calls
HF: DIIS                    :      0.050u      0.017s      0.032w    145 calls
DIISManager::add_entry      :      0.000u      0.017s      0.019w    131 calls
DIISManager::extrapolate    :      0.000u      0.000s      0.010w    117 calls
bMatrix setup               :      0.000u      0.000s      0.003w    117 calls
bMatrix pseudoinverse       :      0.000u      0.000s      0.003w    117 calls
New vector                  :      0.000u      0.000s      0.003w    117 calls
HF: Form C                  :      0.017u      0.000s      0.014w    145 calls
HF: Form D                  :      0.000u      0.000s      0.000w    145 calls
Grad: V T Perturb           :      0.250u      0.100s      0.226w     13 calls
Grad: S                     :      0.000u      0.000s      0.002w     13 calls
Grad: JK                    :      2.333u      0.017s      1.487w     13 calls
JKGrad: Amn                 :      0.450u      0.000s      0.254w     13 calls
JKGrad: Awmn                :      0.000u      0.000s      0.000w     13 calls
JKGrad: AB                  :      0.417u      0.000s      0.241w     13 calls
JKGrad: UV                  :      0.000u      0.000s      0.002w     13 calls
JKGrad: ABx                 :      0.350u      0.000s      0.224w     13 calls
JKGrad: Amnx                :      0.750u      0.000s      0.462w     13 calls
Grad: XC                    :      0.000u      0.000s      0.000w     13 calls

-----------------------------------------------------------
DFH: initialize()           :      1.417u      0.000s      0.872w     14 calls
| DFH: sparsity prep        :      0.433u      0.000s      0.273w     14 calls
| DFH: AO Construction      :      0.067u      0.000s      0.061w     14 calls
| DFH: AO-Met. Contraction  :      0.000u      0.000s      0.007w     14 calls
